customer_id,first_name,last_name,gender,num_prev_purchase,DOB,age,job_title,job_industry,wealth_segment,owns_car,street,state,country,post_code,num_purchase,total_purchase
40,Tomasine,Jerche,Female,91,1981-10-27,41.0,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,3496 Brown Drive,NSW,Australia,2207,6.0,6175.27
41,Basilius,Coupe,Male,64,1976-04-14,47.0,Food Chemist,Health,Mass Customer,N,7188 Cody Way,VIC,Australia,3350,9.0,10573.64
42,Chiquita,Durnall,Female,24,1977-03-28,46.0,Accountant III,Manufacturing,Mass Customer,N,1 Claremont Park,VIC,Australia,3931,4.0,2501.97
43,Indira,Belt,Female,38,1983-03-01,40.0,Director of Sales,Retail,Mass Customer,N,60 Eagan Circle,QLD,Australia,4018,9.0,7137.22
44,Neron,Verick,Male,63,1981-10-18,41.0,Assistant Media Planner,Entertainment,Affluent Customer,N,89314 Eagle Crest Center,QLD,Australia,4670,7.0,8062.91
45,Trace,Woodhead,Male,64,1975-09-23,47.0,Senior Financial Analyst,Financial Services,Mass Customer,N,2028 Lakewood Place,NSW,Australia,2480,3.0,3305.47
46,Kaila,Allin,Female,98,1972-02-26,51.0,NA,n/a,Affluent Customer,N,70875 Hudson Point,VIC,Australia,3212,5.0,5465.10
47,Matthew,Jeaycock,Male,51,1992-10-22,30.0,Registered Nurse,Health,Affluent Customer,N,543 Killdeer Park,NSW,Australia,2322,7.0,8500.76
48,Rebbecca,Casone,Female,46,1975-08-15,47.0,Biostatistician II,n/a,Mass Customer,N,22125 Ramsey Drive,VIC,Australia,3198,8.0,10470.09
49,Nolly,Ownsworth,Male,63,1994-01-26,29.0,VP Quality Control,n/a,Affluent Customer,N,3107 Calypso Terrace,NSW,Australia,2210,5.0,7582.92
50,Whitby,Schapero,Male,38,1980-10-01,42.0,Account Executive,Manufacturing,Mass Customer,N,957 Veith Junction,NSW,Australia,2047,8.0,10347.93
51,Fidelio,Dilke,Male,68,1959-12-05,63.0,Computer Systems Analyst II,Retail,Mass Customer,N,4853 Gulseth Avenue,QLD,Australia,4503,8.0,10189.10
52,Curran,Bentson,Male,57,1988-06-22,35.0,NA,Financial Services,Mass Customer,N,9 Michigan Terrace,NSW,Australia,2145,7.0,10323.76
53,Agnella,Gocke,Female,22,1954-04-18,69.0,Software Test Engineer II,Financial Services,Mass Customer,N,62 Steensland Road,QLD,Australia,4350,5.0,5865.88
54,Loralyn,Wonfor,Female,2,1966-07-24,56.0,Sales Associate,Property,Mass Customer,N,6 Homewood Avenue,NSW,Australia,2142,7.0,10147.76
55,Linc,Jillions,Male,48,1956-09-24,66.0,Paralegal,Financial Services,Affluent Customer,N,15 Almo Lane,NSW,Australia,2029,8.0,7147.35
56,Reese,Ensor,Male,44,1996-07-04,26.0,VP Sales,Property,Mass Customer,N,690 Glacier Hill Circle,NSW,Australia,2127,7.0,6197.12
57,Abba,Masedon,Male,87,1988-06-13,35.0,Chief Design Engineer,n/a,Mass Customer,N,89787 Village Green Terrace,QLD,Australia,4280,6.0,9322.38
58,Dalenna,Pinnock,Female,26,1967-07-04,55.0,Office Assistant III,Financial Services,Affluent Customer,N,18 Elgar Park,NSW,Australia,2166,8.0,7360.45
59,Niki,Heathcote,Male,60,2000-02-08,23.0,Physical Therapy Assistant,n/a,High Net Worth,N,413 Mayer Street,NSW,Australia,2046,3.0,2593.37
60,Nadiya,Champerlen,Female,18,1970-02-04,53.0,NA,Manufacturing,Mass Customer,N,39 3rd Drive,NSW,Australia,2026,2.0,1526.90
61,Kacey,Rowbottom,Female,47,1959-11-29,63.0,Help Desk Operator,Property,High Net Worth,N,44516 Katie Parkway,NSW,Australia,2765,7.0,7518.75
62,Sorcha,Roggers,Female,38,1979-07-06,43.0,NA,IT,Mass Customer,N,41 Schurz Center,NSW,Australia,2749,6.0,6367.68
63,Ebony,Zini,Female,58,1965-07-03,57.0,Senior Quality Engineer,Retail,Mass Customer,N,68150 Boyd Road,NSW,Australia,2745,3.0,4670.60
64,Gerek,Yve,Male,73,1978-03-25,45.0,Legal Assistant,IT,High Net Worth,N,11474 Westend Hill,VIC,Australia,3752,5.0,3412.32
65,Yale,Tanser,Male,21,1976-04-01,47.0,Information Systems Manager,Financial Services,Affluent Customer,N,308 Jana Crossing,NSW,Australia,2153,6.0,9135.92
66,Anselm,Gawne,Male,46,2002-03-11,21.0,Account Executive,Agriculture,High Net Worth,N,163 Straubel Trail,NSW,Australia,2217,5.0,4154.94
67,Vernon,,Male,67,1960-06-14,63.0,Web Developer II,Retail,Mass Customer,N,68294 Clarendon Crossing,NSW,Australia,2230,5.0,6339.82
68,Dahlia,Eddoes,Female,37,1974-04-21,49.0,Information Systems Manager,n/a,Affluent Customer,N,486 Mariners Cove Plaza,VIC,Australia,3046,3.0,5127.98
69,Heidi,Milner,Female,16,1969-06-22,54.0,Web Developer II,n/a,Mass Customer,N,0322 Dryden Court,VIC,Australia,3183,6.0,8851.83
70,Foster,Vannoort,Male,78,1993-02-27,30.0,Paralegal,Financial Services,Affluent Customer,N,9 Bonner Road,NSW,Australia,2070,5.0,6209.25
71,Hoyt,Glavias,Male,30,1985-01-27,38.0,Research Associate,Agriculture,Affluent Customer,N,07041 Briar Crest Lane,NSW,Australia,2213,1.0,1415.01
72,Sammy,Cheese,Male,93,1972-02-13,51.0,Administrative Officer,Manufacturing,Affluent Customer,N,29466 Hanson Pass,QLD,Australia,4208,5.0,4592.90
73,Minette,Worters,Female,16,1960-05-27,63.0,Teacher,n/a,Affluent Customer,N,0212 Forest Run Trail,NSW,Australia,2774,6.0,5839.24
74,Pansy,Kiddie,Female,94,1969-06-19,54.0,NA,n/a,Mass Customer,N,33055 Menomonie Parkway,QLD,Australia,4133,3.0,3559.27
75,Dollie,Sealy,Female,28,1978-07-15,44.0,VP Product Management,Property,Mass Customer,N,4763 Merchant Avenue,NSW,Australia,2756,8.0,7623.99
76,Rea,Hasser,Female,20,1978-01-23,45.0,Statistician II,Retail,High Net Worth,N,439 Ridgeway Court,QLD,Australia,4213,8.0,5629.78
77,Shermie,Andrin,Male,79,1989-09-12,33.0,Automation Specialist IV,Financial Services,Mass Customer,N,2 Clyde Gallagher Lane,QLD,Australia,4170,3.0,2964.73
78,Arch,Kruis,Male,37,1985-03-12,38.0,Business Systems Development Analyst,Agriculture,Affluent Customer,N,97455 Loeprich Lane,NSW,Australia,2153,2.0,1139.12
79,Tybi,Silliman,Female,76,1968-10-02,54.0,Account Executive,Manufacturing,Mass Customer,N,9527 Ridgeway Street,NSW,Australia,2073,6.0,6761.43
80,Pablo,Small,Male,11,1978-04-24,45.0,Data Coordiator,Entertainment,Mass Customer,N,7 Jackson Point,VIC,Australia,3561,10.0,13520.59
81,Bee,Blazewicz,Female,58,1986-09-04,36.0,NA,Health,High Net Worth,N,74 Anniversary Junction,NSW,Australia,2330,4.0,3404.66
82,Gleda,Cokely,Female,93,1965-06-28,58.0,Software Test Engineer III,Property,High Net Worth,N,2083 Spaight Court,VIC,Australia,3977,5.0,4134.53
83,Kerr,Simmell,Male,97,1967-02-26,56.0,Internal Auditor,IT,Mass Customer,N,2796 Caliangt Circle,NSW,Australia,2204,6.0,5893.76
84,Rich,Mathiasen,Male,78,1958-02-07,65.0,Accountant III,n/a,Mass Customer,N,96061 Ludington Place,NSW,Australia,2086,7.0,5798.75
85,Kane,Tixall,Male,1,1958-05-21,65.0,Analyst Programmer,n/a,Mass Customer,N,5037 Merchant Crossing,NSW,Australia,2226,6.0,4156.67
86,Job,Sleney,Male,75,1989-03-04,34.0,Occupational Therapist,Health,High Net Worth,N,289 Haas Street,NSW,Australia,2075,9.0,7800.06
87,Fields,Langdon,Male,78,1974-04-23,49.0,Editor,Financial Services,Mass Customer,N,4423 Bartelt Parkway,NSW,Australia,2038,9.0,9724.58
88,Malynda,Tumber,Female,41,1966-02-03,57.0,Help Desk Operator,Property,High Net Worth,N,5 Grim Center,NSW,Australia,2069,6.0,4976.98
89,Benedicto,Hoxey,Male,74,1967-01-22,56.0,Speech Pathologist,Health,Mass Customer,N,73042 Roth Crossing,NSW,Australia,2100,9.0,13094.89
90,Cary,Garron,Male,76,1984-11-12,38.0,Quality Control Specialist,Manufacturing,Mass Customer,N,171 Fordem Junction,NSW,Australia,2233,7.0,9240.31
91,Dylan,Meaker,Male,69,1955-02-24,68.0,Senior Financial Analyst,Financial Services,Affluent Customer,N,2640 Manley Point,NSW,Australia,2166,8.0,8066.44
92,Jodee,Judkins,Female,98,1980-09-11,42.0,Recruiting Manager,Health,Mass Customer,N,3 Hintze Pass,VIC,Australia,3133,3.0,5098.43
93,Gordon,Gowar,Male,63,1976-07-16,46.0,Project Manager,Retail,Mass Customer,N,2 Mcbride Road,VIC,Australia,3070,3.0,5276.13
94,Wallache,Simchenko,Male,33,1974-08-07,48.0,Civil Engineer,Manufacturing,Mass Customer,N,67234 Transport Hill,NSW,Australia,2777,7.0,9283.58
95,Nomi,Mallinder,Female,67,1960-12-25,62.0,Software Engineer III,Manufacturing,Affluent Customer,N,72 Dorton Crossing,VIC,Australia,3133,4.0,5049.80
96,Heath,Olford,Male,33,1968-08-31,54.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,6 Heffernan Center,NSW,Australia,2125,4.0,3680.83
97,Arne,Corain,Male,16,1979-07-27,43.0,Community Outreach Specialist,Financial Services,Mass Customer,N,6088 Roxbury Hill,NSW,Australia,2766,8.0,9469.58
98,Allianora,Babalola,Female,19,1956-03-17,67.0,Safety Technician IV,Health,Mass Customer,N,105 Shelley Alley,NSW,Australia,2209,5.0,6180.05
99,Reggie,Mulliner,Male,97,1998-06-13,25.0,VP Accounting,Financial Services,Mass Customer,N,079 Merry Park,NSW,Australia,2160,9.0,8279.06
100,Tripp,Steed,Male,80,1968-05-11,55.0,General Manager,Financial Services,Mass Customer,N,8722 Summit Alley,NSW,Australia,2065,2.0,2748.20
101,Goran,Kwietek,Male,83,1975-12-29,47.0,Nurse Practicioner,Manufacturing,High Net Worth,N,9554 Artisan Pass,NSW,Australia,2150,4.0,4321.57
102,Langsdon,Tranfield,Male,51,1956-11-27,66.0,Quality Control Specialist,Manufacturing,Affluent Customer,N,55850 Butterfield Road,NSW,Australia,2168,7.0,7346.77
103,Ethyl,Runham,Female,49,1997-04-21,26.0,Product Engineer,Financial Services,Affluent Customer,N,68 Little Fleur Crossing,NSW,Australia,2046,5.0,4909.84
104,Odille,Panketh,Female,40,1978-06-06,45.0,Automation Specialist II,Health,Mass Customer,N,85688 New Castle Crossing,QLD,Australia,4171,9.0,7850.98
105,Maribeth,Pristnor,Female,25,2001-09-17,21.0,Recruiting Manager,Manufacturing,Mass Customer,N,8611 Loomis Lane,NSW,Australia,2155,4.0,6234.35
106,Glyn,,Male,54,1966-07-03,56.0,Software Test Engineer III,Health,High Net Worth,N,7909 Pierstorff Crossing,NSW,Australia,2517,3.0,2849.39
107,Pris,Stallebrass,Female,97,1990-07-01,32.0,Nurse Practicioner,Financial Services,Mass Customer,N,01 Muir Parkway,NSW,Australia,2096,4.0,4302.60
108,Kayle,Mingaud,Female,4,1994-03-14,29.0,NA,n/a,High Net Worth,N,0410 Division Junction,NSW,Australia,2750,3.0,3015.79
109,Cody,Blabey,Male,16,1978-12-11,44.0,Marketing Assistant,n/a,Affluent Customer,N,41 Service Lane,NSW,Australia,2217,10.0,13138.11
110,Sascha,Quintin,Male,23,2000-07-31,22.0,NA,Financial Services,Affluent Customer,N,5 Moose Road,VIC,Australia,3977,7.0,7788.71
111,Cele,Evason,Female,65,1993-08-29,29.0,Analyst Programmer,n/a,Mass Customer,N,7342 Fieldstone Junction,NSW,Australia,2093,4.0,5387.00
112,Shena,Parren,Female,88,1975-08-12,47.0,Marketing Manager,Retail,High Net Worth,N,0 David Terrace,VIC,Australia,3204,6.0,6699.52
113,Gage,Nickless,Male,67,1956-05-06,67.0,Staff Scientist,n/a,Mass Customer,N,15239 Northwestern Point,QLD,Australia,4300,6.0,7022.23
114,Sunny,Swindells,Female,10,1985-10-23,37.0,Teacher,Entertainment,Affluent Customer,N,60 Oneill Street,NSW,Australia,2170,4.0,3626.14
115,Alberik,Mereweather,Male,77,1981-12-21,41.0,Account Executive,Health,Mass Customer,N,8194 Sachtjen Drive,VIC,Australia,3844,8.0,8900.46
116,Scottie,Swiffen,Male,49,1999-02-05,24.0,Assistant Professor,Manufacturing,Affluent Customer,N,0349 Farmco Terrace,NSW,Australia,2168,8.0,6684.63
117,Nance,Suttling,Female,75,1982-02-23,41.0,Marketing Manager,Manufacturing,Mass Customer,N,185 Pennsylvania Way,QLD,Australia,4226,10.0,14312.04
118,Prentice,Pearmain,Male,43,1959-11-12,63.0,Budget/Accounting Analyst IV,n/a,High Net Worth,N,432 Longview Circle,VIC,Australia,3192,5.0,3755.74
119,Willey,Chastanet,Male,9,1981-12-04,41.0,Associate Professor,n/a,High Net Worth,N,5814 Bunker Hill Street,VIC,Australia,3070,4.0,4031.08
120,Sloan,Wagg,Male,80,1978-09-02,44.0,Legal Assistant,Financial Services,High Net Worth,N,7 Carberry Crossing,NSW,Australia,2485,3.0,1989.81
121,Myles,Pauncefort,Male,82,1957-10-02,65.0,Graphic Designer,Manufacturing,Mass Customer,N,53 Talisman Trail,NSW,Australia,2097,4.0,4720.58
122,Colver,Itter,Male,87,1979-04-19,44.0,Quality Control Specialist,Financial Services,Mass Customer,N,5 Prairie Rose Road,QLD,Australia,4817,5.0,7509.85
123,Almeta,Kalinsky,Female,85,1988-12-03,34.0,Analyst Programmer,Financial Services,High Net Worth,N,84 Florence Parkway,NSW,Australia,2516,4.0,4115.01
124,Kath,Cunney,Female,27,1995-05-03,28.0,Administrative Assistant II,Health,High Net Worth,N,739 Elmside Way,VIC,Australia,3074,7.0,6960.95
125,Darrelle,Antoniewski,Female,94,1960-03-17,63.0,Computer Systems Analyst II,Property,Mass Customer,N,684 Northport Circle,NSW,Australia,2213,10.0,7890.81
126,Norman,Cliff,Male,53,1992-10-15,30.0,Administrative Officer,Health,Mass Customer,N,8 Hagan Hill,QLD,Australia,4508,3.0,4013.63
127,Merrili,Whitear,Female,81,1974-12-03,48.0,Compensation Analyst,Financial Services,Mass Customer,N,0 Pearson Crossing,QLD,Australia,4405,10.0,9949.62
128,Isidro,Cypler,Male,73,1977-07-17,45.0,Systems Administrator III,Property,Mass Customer,N,10918 Merry Way,NSW,Australia,2452,4.0,3679.75
129,Weidar,Silkstone,Male,64,1985-07-20,37.0,Financial Advisor,Financial Services,High Net Worth,N,97 Coolidge Trail,NSW,Australia,2142,4.0,3590.53
130,Raddy,Delete,Male,32,1997-07-18,25.0,Chemical Engineer,Manufacturing,Mass Customer,N,58 Helena Hill,NSW,Australia,2205,2.0,3340.42
131,Jana,Renyard,Female,57,1964-10-16,58.0,Administrative Officer,Retail,High Net Worth,N,352 Forster Place,QLD,Australia,4132,6.0,6946.76
132,Celesta,Willavoys,Female,5,1963-07-07,59.0,Web Designer I,Manufacturing,Mass Customer,N,12306 Lawn Street,NSW,Australia,2145,6.0,7887.66
133,Eldridge,Fiddeman,Male,12,1977-06-13,46.0,VP Accounting,Financial Services,Mass Customer,N,19392 7th Trail,QLD,Australia,4744,5.0,4303.43
134,Merna,McCulloch,Female,34,1997-08-01,25.0,Legal Assistant,Telecommunications,Affluent Customer,N,1605 Northfield Junction,NSW,Australia,2158,6.0,7712.91
135,Rosalia,Sigart,Female,18,1975-01-18,48.0,Internal Auditor,IT,Mass Customer,N,9674 Graceland Junction,VIC,Australia,3201,7.0,7382.19
136,Mel,Bennet,Male,46,1973-05-26,50.0,Senior Developer,Manufacturing,High Net Worth,N,638 Thackeray Junction,QLD,Australia,4178,8.0,7413.18
137,Vaughn,Artin,Male,27,1987-11-21,35.0,Office Assistant II,Property,High Net Worth,N,869 Forster Circle,NSW,Australia,2112,5.0,2567.50
138,Onofredo,Franc,Male,5,1985-04-28,38.0,Recruiter,Financial Services,Affluent Customer,N,0 Golden Leaf Crossing,NSW,Australia,2033,7.0,7040.75
139,Gar,,Male,1,1964-07-28,58.0,Operator,Telecommunications,Affluent Customer,N,215 Lindbergh Trail,QLD,Australia,4401,9.0,11726.46
140,Morrie,Flaxon,Male,9,1994-05-20,29.0,Programmer Analyst III,Manufacturing,Mass Customer,N,829 Washington Crossing,VIC,Australia,3186,6.0,8105.42
141,Townsend,Trobe,Male,67,1954-06-25,69.0,Teacher,Financial Services,High Net Worth,N,585 Loomis Court,NSW,Australia,2097,3.0,3104.04
142,Bentley,Fortesquieu,Male,57,1967-08-07,55.0,Quality Engineer,Health,Affluent Customer,N,68063 Blue Bill Park Center,VIC,Australia,3058,11.0,13504.45
143,Kendall,Figg,Male,19,1957-09-01,65.0,Operator,Agriculture,Mass Customer,N,15673 Farmco Point,QLD,Australia,4017,4.0,5082.35
144,Jory,Barrabeale,U,71,,,Environmental Tech,IT,Mass Customer,N,22 Oxford Junction,NSW,Australia,2315,8.0,9526.65
145,Filippo,Ferrara,Male,33,1997-07-21,25.0,Account Executive,Financial Services,Mass Customer,N,7245 Cottonwood Center,NSW,Australia,2285,7.0,9806.76
146,Ricoriki,Matlock,Male,34,1985-04-08,38.0,Quality Control Specialist,Manufacturing,Mass Customer,N,20382 Spohn Alley,NSW,Australia,2219,2.0,2994.88
147,Rea,Pattrick,Female,32,1973-12-06,49.0,Analog Circuit Design manager,Health,Mass Customer,N,12375 Cambridge Pass,NSW,Australia,2065,6.0,8541.61
148,Jaquith,Maffey,Female,69,1981-05-08,42.0,Programmer Analyst III,n/a,Mass Customer,N,03 Granby Parkway,VIC,Australia,3216,5.0,5808.83
149,Drucy,Kausche,Female,41,1995-01-31,28.0,Research Nurse,Health,Mass Customer,N,939 Coleman Pass,QLD,Australia,4509,6.0,7091.73
150,Bradly,Crosse,Male,6,1983-08-23,39.0,Cost Accountant,Financial Services,Affluent Customer,N,69914 Bowman Place,NSW,Australia,2330,4.0,4193.59
151,Donnie,Brimson,Male,36,1965-01-31,58.0,Marketing Manager,Manufacturing,Mass Customer,N,34457 Springview Street,NSW,Australia,2759,8.0,11966.90
152,Stephana,Cardew,Female,5,1981-03-03,42.0,Compensation Analyst,Financial Services,Mass Customer,N,992 Old Shore Trail,NSW,Australia,2069,2.0,2941.37
153,Lorilyn,Walshe,Female,73,1977-07-28,45.0,Assistant Media Planner,Entertainment,Mass Customer,N,453 Sheridan Street,NSW,Australia,2747,7.0,7808.16
154,Faydra,Dulieu,Female,90,1958-02-13,65.0,Junior Executive,n/a,Mass Customer,N,8 Mccormick Crossing,NSW,Australia,2227,6.0,5448.50
155,Orran,Bogges,Male,4,1985-12-28,37.0,Quality Engineer,Manufacturing,Mass Customer,N,63344 Holmberg Crossing,NSW,Australia,2025,3.0,4008.51
156,Shayla,Rimmington,Female,23,1979-09-09,43.0,Cost Accountant,Financial Services,Mass Customer,N,9 Huxley Circle,VIC,Australia,3191,5.0,4831.58
157,Chad,Houtby,Male,97,1974-11-23,48.0,Financial Advisor,Financial Services,Affluent Customer,N,0 Hazelcrest Road,VIC,Australia,3025,4.0,2541.39
158,Hamlin,Odams,Male,99,1984-09-03,38.0,Internal Auditor,n/a,Affluent Customer,N,2 Continental Plaza,NSW,Australia,2263,6.0,8680.92
159,Arin,Matskevich,Male,90,1987-05-12,36.0,Research Nurse,Health,Affluent Customer,N,80 Duke Terrace,NSW,Australia,2233,6.0,6495.07
160,Wake,Durning,Male,5,1964-07-15,58.0,Registered Nurse,Health,Mass Customer,N,860 Hintze Lane,NSW,Australia,2154,2.0,3024.58
161,Tadd,Bloss,Male,49,1976-01-21,47.0,NA,n/a,Mass Customer,N,3723 Bunker Hill Circle,NSW,Australia,2065,1.0,1538.99
162,Port,Acuna,Male,90,1979-08-12,43.0,Nurse Practicioner,IT,Mass Customer,N,5 Corry Court,NSW,Australia,2119,3.0,3317.47
163,Kessia,Helder,Female,58,1976-09-06,46.0,Librarian,Entertainment,High Net Worth,N,65105 Sommers Pass,VIC,Australia,3016,2.0,2260.65
164,Aarika,Vuuren,Female,55,1999-08-07,23.0,Senior Editor,Retail,Affluent Customer,N,2054 Sommers Pass,QLD,Australia,4113,3.0,2974.20
165,Aldon,Roelofs,Male,61,1984-03-25,39.0,Administrative Officer,Agriculture,Mass Customer,N,22371 Miller Trail,NSW,Australia,2032,9.0,10396.03
166,Elston,Oleszczak,Male,54,1955-06-12,68.0,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,35807 Oneill Way,QLD,Australia,4300,8.0,10311.35
167,Nathalie,Tideswell,Female,95,1969-10-27,53.0,NA,Health,High Net Worth,N,75612 Clarendon Junction,QLD,Australia,4352,9.0,8060.51
168,Reggie,Broggetti,U,8,,,General Manager,IT,Affluent Customer,N,16 Golf View Center,VIC,Australia,3020,9.0,9629.11
169,Alfy,Bruhnke,Male,20,1957-10-19,65.0,Data Coordiator,Telecommunications,High Net Worth,N,93 Iowa Junction,NSW,Australia,2116,3.0,1883.44
170,Jammal,Gever,Male,80,1975-06-02,48.0,Pharmacist,Health,High Net Worth,N,48 Cascade Terrace,VIC,Australia,3057,4.0,2639.41
171,Halli,Davidoff,Female,62,1970-12-04,52.0,Assistant Manager,Manufacturing,Mass Customer,N,13950 Jackson Avenue,NSW,Australia,2099,9.0,10465.27
172,Hilton,Carney,Male,54,1988-09-12,34.0,Editor,Manufacturing,Affluent Customer,N,35386 Mockingbird Road,VIC,Australia,3749,8.0,10995.76
173,Ebba,Hanselmann,Female,99,1997-01-02,26.0,General Manager,Health,Affluent Customer,N,2 Randy Point,NSW,Australia,2766,9.0,14588.66
174,Catie,Tosspell,Female,93,1989-11-26,33.0,Food Chemist,Health,Mass Customer,N,6898 Redwing Park,NSW,Australia,2148,10.0,13870.03
175,Templeton,Hambrook,Male,36,1975-11-28,47.0,Quality Engineer,Manufacturing,Affluent Customer,N,52273 Bay Place,VIC,Australia,3145,5.0,6470.55
176,Angelo,Clayal,Male,39,1992-04-13,31.0,Accountant I,Property,Mass Customer,N,272 Montana Avenue,NSW,Australia,2021,5.0,7812.60
