transaction_id,product_id,customer_id,first_name,last_name,gender,num_prev_purchase,DOB,age,job_title,job_industry,wealth_segment,owns_car,street,state,country,post_code,brand,product_line,product_class,product_size,list_price,standard_cost,transaction_date,day_of_week,year,month,day,online_order,order_status
16,3,2961,Merv,Barradell,Male,56,1975-03-22,48,Assistant Manager,Health,Mass Customer,N,8 Roxbury Way,VIC,Australia,3031,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-10-10,Tuesday,2017,10,10,FALSE,Approved
17,79,2426,Yancy,Ovett,,64,,,,IT,Affluent Customer,N,4 Becker Center,NSW,Australia,2145,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2017-04-03,Monday,2017,4,3,FALSE,Approved
18,33,1842,Ephrayim,Beville,Male,89,1977-02-27,46,Accountant IV,Financial Services,Mass Customer,N,9649 Cascade Way,NSW,Australia,2250,Giant Bicycles,Standard,medium,small,1311.44,1.0,2017-06-02,Friday,2017,6,2,FALSE,Approved
19,54,2268,Wilhelmina,Gothup,Female,66,1965-10-07,57,Pharmacist,Health,Mass Customer,N,9574 David Lane,VIC,Australia,3218,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-04-06,Thursday,2017,4,6,TRUE,Approved
20,25,3002,Tracey,Verdun,Male,62,1956-12-06,66,Paralegal,Financial Services,Mass Customer,N,673 Comanche Parkway,NSW,Australia,2470,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-01-28,Saturday,2017,1,28,TRUE,Approved
21,27,1582,Francesco,Wasson,Male,32,1978-01-14,45,Office Assistant III,Property,Mass Customer,N,85301 John Wall Road,NSW,Australia,2101,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-10-09,Monday,2017,10,9,FALSE,Approved
22,37,595,Nikola,Jeanon,Male,72,1973-05-12,50,VP Marketing,Financial Services,Mass Customer,N,0278 Elka Place,QLD,Australia,4305,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-06-29,Thursday,2017,6,29,TRUE,Approved
23,37,2001,Mada,Martinho,Female,21,1977-10-06,45,Analog Circuit Design manager,Manufacturing,Mass Customer,N,3 Bonner Point,NSW,Australia,2800,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-04-08,Saturday,2017,4,8,TRUE,Approved
24,82,515,Winna,Verny,Female,55,1989-09-04,33,Help Desk Operator,IT,High Net Worth,N,12845 Paget Lane,NSW,Australia,2026,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-10-18,Wednesday,2017,10,18,FALSE,Approved
25,89,2822,Rebecca,Shaughnessy,Female,83,1981-05-14,42,Professor,,Mass Customer,N,99216 Oakridge Hill,VIC,Australia,3124,WeareA2B,Touring,medium,large,1362.99,57.74,2017-06-11,Sunday,2017,6,11,FALSE,Approved
26,64,2596,Lexis,Deason,Female,51,1976-08-20,46,Assistant Professor,,Affluent Customer,N,33782 Doe Crossing Terrace,NSW,Australia,2280,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-01-10,Tuesday,2017,1,10,FALSE,Approved
27,64,2666,Lyle,Eager,Male,2,1971-02-16,52,Occupational Therapist,Health,Mass Customer,N,0 Knutson Crossing,NSW,Australia,2151,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-04-11,Tuesday,2017,4,11,TRUE,Approved
28,19,76,Rea,Hasser,Female,20,1978-01-23,45,Statistician II,Retail,High Net Worth,N,439 Ridgeway Court,QLD,Australia,4213,Trek Bicycles,Mountain,low,medium,574.64,459.71,2017-12-23,Saturday,2017,12,23,FALSE,Approved
29,72,3368,Tanya,Boddis,Female,7,1967-07-17,55,Technical Writer,Financial Services,Affluent Customer,N,2 Roxbury Place,NSW,Australia,2564,Norco Bicycles,Standard,medium,medium,360.4,270.3,2017-10-13,Friday,2017,10,13,TRUE,Approved
30,91,1173,Gertie,Chaim,Female,58,1978-03-02,45,Statistician IV,Retail,High Net Worth,N,71 Cherokee Hill,NSW,Australia,2127,WeareA2B,Standard,low,medium,642.31,513.85,2017-03-15,Wednesday,2017,3,15,FALSE,Approved
31,88,2810,Malvin,Burchill,Male,27,1961-08-26,61,,Property,Mass Customer,N,453 Gina Avenue,VIC,Australia,3141,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2017-09-05,Tuesday,2017,9,5,TRUE,Approved
32,1,3214,Cindelyn,Balas,Female,2,1993-01-21,30,Software Engineer III,Financial Services,Mass Customer,N,050 Monterey Street,QLD,Australia,4869,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-02-18,Saturday,2017,2,18,FALSE,Approved
33,25,1272,Nettie,Bulfit,Female,2,1985-04-04,38,,Manufacturing,Affluent Customer,N,26 Portage Junction,QLD,Australia,4503,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-03-20,Monday,2017,3,20,FALSE,Approved
34,99,2003,Lilli,Hargey,Female,80,1962-06-21,61,Statistician III,Manufacturing,High Net Worth,N,064 Fallview Terrace,QLD,Australia,4500,Trek Bicycles,Road,low,small,1720.7,1.0,2017-02-28,Tuesday,2017,2,28,TRUE,Approved
35,0,2171,Laryssa,Maes,Female,21,1970-02-10,53,Pharmacist,Health,High Net Worth,N,6 Tennyson Place,NSW,Australia,2138,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-08-20,Sunday,2017,8,20,FALSE,Approved
36,92,3356,Dill,Bampford,Male,47,1959-03-23,64,Safety Technician II,Financial Services,Mass Customer,N,73 Burrows Court,VIC,Australia,3121,WeareA2B,Standard,medium,small,1415.01,1.0,2017-07-07,Friday,2017,7,7,FALSE,Approved
37,14,1040,Jacenta,Wedlock,Female,78,1975-03-04,48,Food Chemist,Health,High Net Worth,N,27135 Melvin Plaza,QLD,Australia,4556,Solex,Standard,high,large,1842.92,1.0,2017-01-09,Monday,2017,1,9,FALSE,Approved
38,2,2916,Lauren,Adolfson,Male,23,1969-08-03,53,Product Engineer,Manufacturing,Affluent Customer,N,2 Blue Bill Park Lane,QLD,Australia,4220,Solex,Standard,medium,medium,71.49,53.62,2017-12-06,Wednesday,2017,12,6,FALSE,Approved
39,12,427,Giusto,Torbett,Male,77,1996-12-19,26,Assistant Media Planner,Entertainment,Mass Customer,N,1 Carey Pass,NSW,Australia,2065,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-09-12,Tuesday,2017,9,12,FALSE,Approved
40,0,2448,Lorri,Iston,Female,5,1992-12-18,30,Structural Analysis Engineer,Property,High Net Worth,N,11 Dunning Pass,NSW,Australia,2219,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-11-28,Tuesday,2017,11,28,TRUE,Approved
41,44,2570,Hirsch,Peele,Male,13,1977-09-10,45,Professor,Financial Services,Mass Customer,N,457 Merry Pass,QLD,Australia,4812,WeareA2B,Standard,medium,medium,1769.64,108.76,2017-05-08,Monday,2017,5,8,TRUE,Approved
42,79,3398,Alberik,Looks,Male,69,1971-07-01,51,,,High Net Worth,N,375 Luster Parkway,NSW,Australia,2147,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2017-05-14,Sunday,2017,5,14,FALSE,Approved
43,76,488,Domini,Ghelerdini,Female,24,1980-07-11,42,Help Desk Operator,Property,Mass Customer,N,4671 Buell Trail,VIC,Australia,3564,WeareA2B,Standard,low,medium,642.31,513.85,2017-03-17,Friday,2017,3,17,FALSE,Cancelled
44,46,165,Aldon,Roelofs,Male,61,1984-03-25,39,Administrative Officer,Agriculture,Mass Customer,N,22371 Miller Trail,NSW,Australia,2032,Solex,Standard,low,medium,1289.85,74.51,2017-12-22,Friday,2017,12,22,FALSE,Approved
45,55,2787,Teressa,Tague,Female,92,1980-09-26,42,Marketing Assistant,,Affluent Customer,N,3 Cordelia Place,VIC,Australia,3018,Trek Bicycles,Road,medium,large,1894.19,598.76,2017-06-07,Wednesday,2017,6,7,TRUE,Approved
46,66,3053,Susie,,Female,67,1984-09-12,38,Account Coordinator,Retail,High Net Worth,N,274 Ludington Trail,NSW,Australia,2428,Solex,Standard,medium,medium,1163.89,589.27,2017-06-20,Tuesday,2017,6,20,FALSE,Approved
47,35,475,Vernor,,Male,0,1996-11-14,26,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,781 Dorton Avenue,VIC,Australia,3012,Trek Bicycles,Standard,low,medium,1057.51,154.4,2017-05-07,Sunday,2017,5,7,TRUE,Approved
48,81,1305,Averil,Gentiry,Male,97,1970-03-01,53,Executive Secretary,Financial Services,High Net Worth,N,3 School Place,QLD,Australia,4124,Solex,Standard,medium,medium,1151.96,649.49,2017-06-10,Saturday,2017,6,10,TRUE,Approved
49,86,1251,Codie,Arnecke,Male,63,1997-10-01,25,Desktop Support Technician,Property,Mass Customer,N,6 Lerdahl Plaza,QLD,Australia,4519,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-06-17,Saturday,2017,6,17,FALSE,Approved
50,32,3103,Shaylah,Hatchell,Female,5,1953-10-21,69,Safety Technician II,Retail,Mass Customer,N,32304 Larry Road,QLD,Australia,4014,Giant Bicycles,Standard,medium,medium,642.7,211.37,2017-05-10,Wednesday,2017,5,10,FALSE,Approved
51,77,3108,Trip,Ahmed,Male,94,1967-10-01,55,Accounting Assistant III,Entertainment,Mass Customer,N,1742 Scott Center,QLD,Australia,4670,Norco Bicycles,Road,medium,large,1240.31,795.1,2017-03-24,Friday,2017,3,24,FALSE,Approved
52,96,857,Theo,,Female,15,1964-08-14,58,General Manager,,High Net Worth,N,18 Parkside Plaza,QLD,Australia,4122,Giant Bicycles,Standard,medium,large,1635.3,993.66,2017-11-27,Monday,2017,11,27,FALSE,Approved
53,6,3455,Coop,Skey,Male,29,1954-02-25,69,Administrative Officer,,Mass Customer,N,757 Debs Avenue,QLD,Australia,4670,OHM Cycles,Standard,high,medium,227.88,136.73,2017-12-21,Thursday,2017,12,21,TRUE,Approved
54,27,2549,Mike,Geggus,Male,12,1998-08-07,24,Pharmacist,Health,Mass Customer,N,01 Burning Wood Terrace,NSW,Australia,2323,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-02-09,Thursday,2017,2,9,TRUE,Approved
55,0,3140,Britt,Muddimer,Female,2,1985-06-11,38,Legal Assistant,Manufacturing,High Net Worth,N,3 Canary Center,NSW,Australia,2040,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-09-18,Monday,2017,9,18,FALSE,Approved
56,47,3406,Lucy,Lackmann,Female,35,1979-04-28,44,Business Systems Development Analyst,IT,Mass Customer,N,5 Northland Plaza,NSW,Australia,2096,Trek Bicycles,Road,low,small,1720.7,1.0,2017-11-14,Tuesday,2017,11,14,FALSE,Approved
57,94,2294,Skipton,Cordie,Male,25,1987-06-16,36,Associate Professor,Manufacturing,Mass Customer,N,7 Melrose Circle,QLD,Australia,4017,Giant Bicycles,Standard,medium,large,1635.3,993.66,2017-08-30,Wednesday,2017,8,30,TRUE,Approved
58,91,1031,Roi,Ogden,Male,75,1983-09-15,39,Junior Executive,Manufacturing,Mass Customer,N,65634 Del Mar Crossing,QLD,Australia,4053,WeareA2B,Standard,low,medium,642.31,513.85,2017-11-14,Tuesday,2017,11,14,FALSE,Approved
59,93,993,Reine,Semken,Female,71,1977-02-18,46,Account Coordinator,Agriculture,High Net Worth,N,84019 Porter Trail,NSW,Australia,2871,OHM Cycles,Standard,high,medium,1458.17,874.9,2017-02-15,Wednesday,2017,2,15,TRUE,Approved
60,60,3473,Sanderson,Alloway,,34,,,Analog Circuit Design manager,IT,Mass Customer,N,7279 Steensland Circle,VIC,Australia,3803,Giant Bicycles,Standard,high,small,1977.36,1.0,2017-12-18,Monday,2017,12,18,FALSE,Approved
61,0,1839,Faythe,Rance,Female,60,1987-05-08,36,Internal Auditor,Entertainment,High Net Worth,N,734 South Court,QLD,Australia,4152,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-02-24,Friday,2017,2,24,FALSE,Approved
62,33,1824,Robbie,Yakubovics,Female,12,1959-10-12,63,Safety Technician III,Manufacturing,Affluent Customer,N,2364 Dovetail Way,VIC,Australia,3048,Giant Bicycles,Standard,medium,small,1311.44,1.0,2017-12-18,Monday,2017,12,18,TRUE,Approved
63,35,368,Lacee,Roan,Female,32,1986-11-26,36,,Financial Services,High Net Worth,N,382 Maywood Parkway,QLD,Australia,4127,Trek Bicycles,Standard,low,medium,1057.51,154.4,2017-12-17,Sunday,2017,12,17,FALSE,Approved
64,0,2000,Kain,Rene,,68,,,Assistant Professor,IT,High Net Worth,N,59170 Westridge Junction,NSW,Australia,2147,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-07-08,Saturday,2017,7,8,FALSE,Approved
65,28,825,Willis,Whyler,Male,17,1975-08-15,47,Computer Systems Analyst IV,,Affluent Customer,N,8640 Village Junction,NSW,Australia,2066,Norco Bicycles,Standard,medium,small,1216.14,1.0,2017-05-16,Tuesday,2017,5,16,TRUE,Approved
66,86,3315,Ninnette,Pandey,Female,77,1994-09-08,28,Account Executive,Property,Mass Customer,N,6 North Court,VIC,Australia,3862,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-02-23,Thursday,2017,2,23,TRUE,Approved
67,2,75,Dollie,Sealy,Female,28,1978-07-15,44,VP Product Management,Property,Mass Customer,N,4763 Merchant Avenue,NSW,Australia,2756,Solex,Standard,medium,medium,71.49,53.62,2017-07-03,Monday,2017,7,3,TRUE,Approved
68,4,1498,Janot,McGougan,Female,84,1989-09-27,33,Nurse,,Affluent Customer,N,40 Dexter Crossing,NSW,Australia,2250,Giant Bicycles,Standard,high,medium,1129.13,677.48,2017-09-30,Saturday,2017,9,30,TRUE,Approved
69,38,1612,Wendel,Headland,Male,70,1987-04-17,36,Community Outreach Specialist,Financial Services,High Net Worth,N,84504 Doe Crossing Road,NSW,Australia,2441,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-10-21,Saturday,2017,10,21,TRUE,Approved
70,27,2192,Hubie,Leipold,Male,93,1966-08-27,56,Staff Accountant II,,Mass Customer,N,3 Thierer Plaza,QLD,Australia,4815,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-05-06,Saturday,2017,5,6,TRUE,Approved
71,54,419,Chrissie,Bernardini,Female,34,1981-01-26,42,VP Marketing,Manufacturing,Affluent Customer,N,7526 Artisan Parkway,QLD,Australia,4223,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-01-03,Tuesday,2017,1,3,FALSE,Approved
72,77,3307,Portia,Thirlwall,Female,96,1978-09-02,44,Analyst Programmer,Health,High Net Worth,N,1172 Mesta Center,QLD,Australia,4740,Norco Bicycles,Road,medium,large,1240.31,795.1,2017-05-09,Tuesday,2017,5,9,TRUE,Approved
73,22,2430,Humbert,Dikles,Male,38,1968-09-06,54,Quality Engineer,,Mass Customer,N,57769 Gulseth Lane,NSW,Australia,2040,WeareA2B,Standard,medium,medium,60.34,45.26,2017-07-23,Sunday,2017,7,23,FALSE,Approved
74,56,1506,Andonis,Cochrane,Male,21,1958-02-21,65,,Property,Mass Customer,N,6 Canary Plaza,NSW,Australia,2223,OHM Cycles,Standard,medium,medium,183.86,137.9,2017-01-21,Saturday,2017,1,21,TRUE,Approved
75,58,1346,Woody,Dowthwaite,Male,9,1970-06-19,53,Administrative Assistant IV,Telecommunications,Mass Customer,N,5 Springview Terrace,VIC,Australia,3620,OHM Cycles,Standard,medium,medium,912.52,141.4,2017-06-20,Tuesday,2017,6,20,FALSE,Approved
76,22,927,Jarret,,Male,25,1966-02-19,57,Cost Accountant,Financial Services,Mass Customer,N,2309 Gulseth Way,VIC,Australia,3199,WeareA2B,Standard,medium,medium,60.34,45.26,2017-03-10,Friday,2017,3,10,FALSE,Approved
77,50,763,Benita,Cuffley,Female,95,1987-11-05,35,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,08 Vidon Center,NSW,Australia,2143,WeareA2B,Standard,medium,small,175.89,131.92,2017-06-02,Friday,2017,6,2,FALSE,Approved
78,80,2397,Cassius,Birchenough,Male,33,1985-06-10,38,Analyst Programmer,Retail,Affluent Customer,N,44083 Village Court,NSW,Australia,2142,OHM Cycles,Touring,low,medium,1073.07,933.84,2017-11-07,Tuesday,2017,11,7,FALSE,Approved
79,87,102,Langsdon,Tranfield,Male,51,1956-11-27,66,Quality Control Specialist,Manufacturing,Affluent Customer,N,55850 Butterfield Road,NSW,Australia,2168,Giant Bicycles,Standard,high,medium,1179.0,707.4,2017-09-12,Tuesday,2017,9,12,TRUE,Approved
80,15,2884,Karola,Conneely,Female,99,1962-01-06,61,Assistant Professor,,Mass Customer,N,8369 Golf Court,NSW,Australia,2777,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-12-16,Saturday,2017,12,16,FALSE,Approved
81,84,759,Mitchel,Schimek,Male,89,1963-04-18,60,Clinical Specialist,Health,High Net Worth,N,4 Vahlen Junction,NSW,Australia,2227,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-10-07,Saturday,2017,10,7,TRUE,Approved
82,21,773,Robbie,Handaside,Male,77,1985-02-12,38,,Financial Services,Affluent Customer,N,88 Bay Drive,QLD,Australia,4305,Solex,Standard,medium,large,1071.23,380.74,2017-04-27,Thursday,2017,4,27,TRUE,Approved
83,0,3398,Alberik,Looks,Male,69,1971-07-01,51,,,High Net Worth,N,375 Luster Parkway,NSW,Australia,2147,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-04-01,Saturday,2017,4,1,TRUE,Approved
84,33,3297,Addy,Moukes,Male,39,1975-04-26,48,Product Engineer,Manufacturing,Mass Customer,N,50 Declaration Junction,VIC,Australia,3213,Giant Bicycles,Standard,medium,small,1311.44,1.0,2017-11-02,Thursday,2017,11,2,TRUE,Approved
85,84,2434,Lenci,Soars,Male,40,1956-11-17,66,Environmental Specialist,,Affluent Customer,N,1966 Glendale Avenue,QLD,Australia,4207,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-02-13,Monday,2017,2,13,TRUE,Approved
86,1,1861,Charlena,Muzzi,Female,26,1967-07-18,55,Geological Engineer,Manufacturing,Mass Customer,N,7939 Toban Crossing,NSW,Australia,2770,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-07-19,Wednesday,2017,7,19,FALSE,Approved
87,27,1233,Keeley,Hawsby,Female,17,1978-07-07,44,,Retail,Affluent Customer,N,26 Lotheville Court,NSW,Australia,2085,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-05-23,Tuesday,2017,5,23,FALSE,Approved
88,31,1390,Christyna,Feldberg,Female,74,2000-01-25,23,Accounting Assistant I,Retail,High Net Worth,N,02701 Talmadge Junction,VIC,Australia,3082,WeareA2B,Standard,medium,medium,752.64,205.36,2017-08-06,Sunday,2017,8,6,FALSE,Approved
89,0,2682,Annamarie,Bouzan,Female,54,1987-11-01,35,Accountant III,Manufacturing,High Net Worth,N,446 Warrior Pass,QLD,Australia,4740,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-04-04,Tuesday,2017,4,4,TRUE,Approved
90,62,439,Lida,Wych,Female,26,1974-07-08,48,GIS Technical Architect,,Affluent Customer,N,8788 Armistice Trail,VIC,Australia,3806,Solex,Standard,medium,medium,478.16,298.72,2017-08-15,Tuesday,2017,8,15,TRUE,Approved
91,17,1579,Madelaine,Siegertsz,Female,40,1978-01-27,45,Desktop Support Technician,Financial Services,Affluent Customer,N,82 Hanover Avenue,NSW,Australia,2101,Solex,Standard,high,medium,1024.66,614.8,2017-04-15,Saturday,2017,4,15,TRUE,Approved
92,73,2984,Frances,Mishaw,Female,48,1959-05-23,64,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,0 Hayes Hill,NSW,Australia,2106,Solex,Standard,medium,medium,1945.43,333.18,2017-07-25,Tuesday,2017,7,25,TRUE,Approved
93,33,3470,Catherina,Ricca,Female,56,1967-10-01,55,Recruiting Manager,Health,Affluent Customer,N,176 Sutteridge Alley,VIC,Australia,3121,Giant Bicycles,Standard,medium,small,1311.44,1.0,2017-11-28,Tuesday,2017,11,28,TRUE,Approved
94,86,1,Laraine,Medendorp,Female,93,1953-10-12,69,Executive Secretary,Health,Mass Customer,N,060 Morning Avenue,NSW,Australia,2016,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-12-23,Saturday,2017,12,23,FALSE,Approved
95,45,757,Kinsley,Klimus,Male,91,1977-05-13,46,Environmental Tech,Financial Services,Mass Customer,N,195 Knutson Place,QLD,Australia,4019,Solex,Standard,medium,medium,441.49,84.99,2017-02-26,Sunday,2017,2,26,FALSE,Approved
96,1,1778,Emera,Margrem,Female,72,2000-07-30,22,Staff Accountant III,,Mass Customer,N,8 Vermont Pass,VIC,Australia,3930,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-02-21,Tuesday,2017,2,21,FALSE,Approved
97,80,211,Beitris,,Female,6,1974-03-04,49,VP Marketing,Manufacturing,Mass Customer,N,78 Rockefeller Park,NSW,Australia,2159,OHM Cycles,Touring,low,medium,1073.07,933.84,2017-05-31,Wednesday,2017,5,31,TRUE,Approved
98,49,333,Debbi,Doohey,Female,25,1965-06-20,58,Sales Associate,Financial Services,Affluent Customer,N,314 Northland Plaza,QLD,Australia,4213,Trek Bicycles,Road,medium,medium,533.51,400.13,2017-06-23,Friday,2017,6,23,,Approved
99,95,32,Marion,Vanichkin,Female,17,1995-04-20,28,Legal Assistant,Manufacturing,Affluent Customer,N,2951 Petterle Place,NSW,Australia,2756,Giant Bicycles,Standard,medium,large,569.56,528.43,2017-03-26,Sunday,2017,3,26,FALSE,Approved
100,0,119,Willey,Chastanet,Male,9,1981-12-04,41,Associate Professor,,High Net Worth,N,5814 Bunker Hill Street,VIC,Australia,3070,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-07-31,Monday,2017,7,31,FALSE,Approved
101,18,2347,L;urette,Annott,Female,79,1957-03-04,66,Programmer Analyst I,,High Net Worth,N,1081 Laurel Park,NSW,Australia,2049,Norco Bicycles,Standard,high,medium,1148.64,689.18,2017-07-27,Thursday,2017,7,27,FALSE,Approved
102,4,2353,Lyn,Luquet,Male,93,1978-12-27,44,Health Coach IV,Health,Affluent Customer,N,22774 Pennsylvania Hill,NSW,Australia,2262,Giant Bicycles,Standard,high,medium,1129.13,677.48,2017-04-14,Friday,2017,4,14,FALSE,Approved
103,33,788,Gregg,Townsend,Male,62,1964-07-01,58,Social Worker,Health,Mass Customer,N,00 Mockingbird Junction,NSW,Australia,2141,Giant Bicycles,Standard,medium,small,1311.44,1.0,2017-11-12,Sunday,2017,11,12,FALSE,Approved
104,78,1468,Adaline,Hayles,Female,37,1978-01-10,45,Financial Advisor,Financial Services,Mass Customer,N,45725 Hagan Pass,NSW,Australia,2519,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-09-12,Tuesday,2017,9,12,FALSE,Approved
105,89,821,Gregoor,Aronovitz,Male,41,1981-07-24,41,Financial Analyst,Financial Services,Mass Customer,N,59000 American Center,NSW,Australia,2530,WeareA2B,Touring,medium,large,1362.99,57.74,2017-10-26,Thursday,2017,10,26,FALSE,Approved
106,70,2489,Emma,Mates,Female,42,1976-06-12,47,Speech Pathologist,Retail,Mass Customer,N,9 Spaight Place,NSW,Australia,2102,Trek Bicycles,Standard,high,medium,495.72,297.43,2017-02-15,Wednesday,2017,2,15,FALSE,Approved
107,79,2710,Flory,Standering,Male,77,1998-01-30,25,,Retail,Mass Customer,N,86445 Bonner Junction,QLD,Australia,4660,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2017-12-22,Friday,2017,12,22,FALSE,Approved
108,26,947,Hyacinth,Naldrett,Female,43,1986-03-10,37,Pharmacist,Health,Mass Customer,N,9 Clyde Gallagher Plaza,VIC,Australia,3021,WeareA2B,Standard,medium,medium,1992.93,762.63,2017-10-11,Wednesday,2017,10,11,TRUE,Approved
